uuid,name,description,local-name,local-description,class,datatype,shortname,is-set,reference-term-source,reference-term-code,reference-term-name,reference-term-relationship,units,high-normal,low-normal,member-of,member-of-sort-weight,answer-of,answer-of-sort-weight,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of vallecula,,,,,,,,ICD10-BD,C10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of anterior surface of epiglottis,,,,,,,,ICD10-BD,C10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of lateral wall of oropharynx,,,,,,,,ICD10-BD,C10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of posterior wall of oropharynx,,,,,,,,ICD10-BD,C10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of branchial cleft,,,,,,,,ICD10-BD,C10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of oropharynx,,,,,,,,ICD10-BD,C10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of oropharynx, unspecified",,,,,,,,ICD10-BD,C10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of nasopharynx,,,,,,,,ICD10-BD,C11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of superior wall of nasopharynx,,,,,,,,ICD10-BD,C11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of posterior wall of nasopharynx,,,,,,,,ICD10-BD,C11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of lateral wall of nasopharynx,,,,,,,,ICD10-BD,C11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of anterior wall of nasopharynx,,,,,,,,ICD10-BD,C11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of nasopharynx,,,,,,,,ICD10-BD,C11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of nasopharynx, unspecified",,,,,,,,ICD10-BD,C11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of pyriform sinus,,,,,,,,ICD10-BD,C12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of hypopharynx,,,,,,,,ICD10-BD,C13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of postcricoid region,,,,,,,,ICD10-BD,C13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",,,,,,,,ICD10-BD,C13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of posterior wall of hypopharynx,,,,,,,,ICD10-BD,C13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of hypopharynx,,,,,,,,ICD10-BD,C13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of hypopharynx, unspecified",,,,,,,,ICD10-BD,C13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity, and pharynx",,,,,,,,ICD10-BD,C14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of pharynx, unspecified",,,,,,,,ICD10-BD,C14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of Waldeyer's ring,,,,,,,,ICD10-BD,C14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of overlapping lesion of lip, oral cavity, and pharynx",,,,,,,,ICD10-BD,C14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of esophagus,,,,,,,,ICD10-BD,C15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of cervical part of esophagus,,,,,,,,ICD10-BD,C15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of thoracic part of esophagus,,,,,,,,ICD10-BD,C15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of abdominal part of esophagus,,,,,,,,ICD10-BD,C15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of upper third of esophagus,,,,,,,,ICD10-BD,C15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of middle third of esophagus,,,,,,,,ICD10-BD,C15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of lower third of esophagus,,,,,,,,ICD10-BD,C15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of esophagus,,,,,,,,ICD10-BD,C15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of esophagus, unspecified",,,,,,,,ICD10-BD,C15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of stomach,,,,,,,,ICD10-BD,C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of cardia,,,,,,,,ICD10-BD,C16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of fundus of stomach,,,,,,,,ICD10-BD,C16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of body of stomach,,,,,,,,ICD10-BD,C16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of pyloric antrum,,,,,,,,ICD10-BD,C16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of pylorus,,,,,,,,ICD10-BD,C16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of lesser curvature of stomach, unspecified",,,,,,,,ICD10-BD,C16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of greater curvature of stomach, unspecified",,,,,,,,ICD10-BD,C16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of stomach,,,,,,,,ICD10-BD,C16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of stomach, unspecified",,,,,,,,ICD10-BD,C16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of small intestine,,,,,,,,ICD10-BD,C17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of duodenum,,,,,,,,ICD10-BD,C17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of jejunum,,,,,,,,ICD10-BD,C17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of ileum,,,,,,,,ICD10-BD,C17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of Meckel's diverticulum,,,,,,,,ICD10-BD,C17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of small intestine,,,,,,,,ICD10-BD,C17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of small intestine, unspecified",,,,,,,,ICD10-BD,C17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of colon,,,,,,,,ICD10-BD,C18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of cecum,,,,,,,,ICD10-BD,C18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of appendix,,,,,,,,ICD10-BD,C18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of ascending colon,,,,,,,,ICD10-BD,C18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of hepatic flexure,,,,,,,,ICD10-BD,C18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of transverse colon,,,,,,,,ICD10-BD,C18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of splenic flexure,,,,,,,,ICD10-BD,C18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of descending colon,,,,,,,,ICD10-BD,C18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of sigmoid colon,,,,,,,,ICD10-BD,C18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of colon,,,,,,,,ICD10-BD,C18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of colon, unspecified",,,,,,,,ICD10-BD,C18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of rectosigmoid junction,,,,,,,,ICD10-BD,C19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of rectum,,,,,,,,ICD10-BD,C20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of anus and anal canal,,,,,,,,ICD10-BD,C21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of anus, unspecified",,,,,,,,ICD10-BD,C21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of anal canal,,,,,,,,ICD10-BD,C21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of cloacogenic zone,,,,,,,,ICD10-BD,C21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of overlapping lesion of rectum, anus, and anal canal",,,,,,,,ICD10-BD,C21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of liver and intrahepatic bile ducts,,যকৃতের ক্যান্সার,,,,,,ICD10-BD,C22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liver cell carcinoma,,,,,,,,ICD10-BD,C22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intrahepatic bile duct carcinoma,,,,,,,,ICD10-BD,C22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hepatoblastoma,,,,,,,,ICD10-BD,C22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Angiosarcoma of liver,,,,,,,,ICD10-BD,C22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other sarcomas of liver,,,,,,,,ICD10-BD,C22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified carcinomas of liver,,,,,,,,ICD10-BD,C22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of liver, unspecified",,,,,,,,ICD10-BD,C22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of gallbladder,,পিত্ত থলির ক্যান্সার,,,,,,ICD10-BD,C23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other and unspecified parts of biliary tract,,,,,,,,ICD10-BD,C24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of extrahepatic bile duct,,,,,,,,ICD10-BD,C24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of ampulla of Vater,,,,,,,,ICD10-BD,C24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of biliary tract,,,,,,,,ICD10-BD,C24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of biliary tract, unspecified",,,,,,,,ICD10-BD,C24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of pancreas,,ওগ্নাশয়ের ক্যান্সার,,,,,,ICD10-BD,C25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of head of pancreas,,,,,,,,ICD10-BD,C25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of body of pancreas,,,,,,,,ICD10-BD,C25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of tail of pancreas,,,,,,,,ICD10-BD,C25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of pancreatic duct,,,,,,,,ICD10-BD,C25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of endocrine pancreas,,,,,,,,ICD10-BD,C25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other parts of pancreas,,,,,,,,ICD10-BD,C25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of pancreas,,,,,,,,ICD10-BD,C25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of pancreas, unspecified",,,,,,,,ICD10-BD,C25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other and ill-defined digestive organs,,,,,,,,ICD10-BD,C26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of intestinal tract, part unspecified",,,,,,,,ICD10-BD,C26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of spleen,,প্লিহার ক্যান্সার,,,,,,ICD10-BD,C26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of digestive system,,,,,,,,ICD10-BD,C26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of ill-defined sites within the digestive system,,,,,,,,ICD10-BD,C26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of nasal cavity and middle ear,,,,,,,,ICD10-BD,C30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of nasal cavity,,,,,,,,ICD10-BD,C30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of middle ear,,,,,,,,ICD10-BD,C30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of accessory sinuses,,,,,,,,ICD10-BD,C31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of maxillary sinus,,,,,,,,ICD10-BD,C31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of ethmoidal sinus,,,,,,,,ICD10-BD,C31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of frontal sinus,,,,,,,,ICD10-BD,C31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of sphenoidal sinus,,,,,,,,ICD10-BD,C31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of accessory sinuses,,,,,,,,ICD10-BD,C31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of accessory sinus, unspecified",,,,,,,,ICD10-BD,C31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of larynx,,,,,,,,ICD10-BD,C32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of glottis,,,,,,,,ICD10-BD,C32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of supraglottis,,,,,,,,ICD10-BD,C32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of subglottis,,,,,,,,ICD10-BD,C32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of laryngeal cartilage,,,,,,,,ICD10-BD,C32.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of larynx,,,,,,,,ICD10-BD,C32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of larynx, unspecified",,,,,,,,ICD10-BD,C32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of trachea,,,,,,,,ICD10-BD,C33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of bronchus and lung,,ফুসফুসের ক্যান্সার,,,,,,ICD10-BD,C34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of main bronchus,,,,,,,,ICD10-BD,C34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of upper lobe, bronchus or lung",,,,,,,,ICD10-BD,C34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of middle lobe, bronchus or lung",,,,,,,,ICD10-BD,C34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of lower lobe, bronchus or lung",,,,,,,,ICD10-BD,C34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of bronchus and lung,,,,,,,,ICD10-BD,C34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of bronchus or lung, unspecified",,,,,,,,ICD10-BD,C34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of thymus,,,,,,,,ICD10-BD,C37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of heart, mediastinum, and pleura",,,,,,,,ICD10-BD,C38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of heart,,,,,,,,ICD10-BD,C38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of anterior mediastinum,,,,,,,,ICD10-BD,C38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of posterior mediastinum,,,,,,,,ICD10-BD,C38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of mediastinum, part unspecified",,,,,,,,ICD10-BD,C38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of pleura,,,,,,,,ICD10-BD,C38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of overlapping lesion of heart, mediastinum, and pleura",,,,,,,,ICD10-BD,C38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,,,,,,,,ICD10-BD,C39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of upper respiratory tract, part unspecified",,,,,,,,ICD10-BD,C39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of respiratory and intrathoracic organs,,,,,,,,ICD10-BD,C39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of ill-defined sites within the respiratory system,,,,,,,,ICD10-BD,C39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of bone and articular cartilage of limbs,,হাড়ের ক্যান্সার,,,,,,ICD10-BD,C40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of scapula and long bones of upper limb,,,,,,,,ICD10-BD,C40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of short bones of upper limb,,,,,,,,ICD10-BD,C40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of long bones of lower limb,,,,,,,,ICD10-BD,C40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of short bones of lower limb,,,,,,,,ICD10-BD,C40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of bone and articular cartilage of limbs,,,,,,,,ICD10-BD,C40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of bone and articular cartilage of limb, unspecified",,,,,,,,ICD10-BD,C40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,,,,,,,,ICD10-BD,C41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of bones of skull and face,,,,,,,,ICD10-BD,C41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of mandible,,,,,,,,ICD10-BD,C41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of vertebral column,,,,,,,,ICD10-BD,C41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of ribs, sternum, and clavicle",,,,,,,,ICD10-BD,C41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of pelvic bones, sacrum, and coccyx",,,,,,,,ICD10-BD,C41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of bone and articular cartilage,,,,,,,,ICD10-BD,C41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of bone and articular cartilage, unspecified",,,,,,,,ICD10-BD,C41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant melanoma of skin,,চামড়ার ক্যান্সার,,,,,,ICD10-BD,C43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant melanoma of lip,,,,,,,,ICD10-BD,C43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant melanoma of eyelid, including canthus",,,,,,,,ICD10-BD,C43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant melanoma of ear and external auricular canal,,,,,,,,ICD10-BD,C43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant melanoma of other and unspecified parts of face,,,,,,,,ICD10-BD,C43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant melanoma of scalp and neck,,,,,,,,ICD10-BD,C43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant melanoma of trunk,,,,,,,,ICD10-BD,C43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant melanoma of upper limb, including shoulder",,,,,,,,ICD10-BD,C43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant melanoma of lower limb, including hip",,,,,,,,ICD10-BD,C43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overlapping malignant melanoma of skin,,,,,,,,ICD10-BD,C43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant melanoma of skin, unspecified",,,,,,,,ICD10-BD,C43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other malignant neoplasms of skin,,,,,,,,ICD10-BD,C44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of skin of lip,,,,,,,,ICD10-BD,C44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of skin of eyelid, including canthus",,,,,,,,ICD10-BD,C44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of skin of ear and external auricular canal,,,,,,,,ICD10-BD,C44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of skin of other and unspecified parts of face,,,,,,,,ICD10-BD,C44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of skin of scalp and neck,,,,,,,,ICD10-BD,C44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of skin of trunk,,,,,,,,ICD10-BD,C44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of skin of upper limb, including shoulder",,,,,,,,ICD10-BD,C44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of skin of lower limb, including hip",,,,,,,,ICD10-BD,C44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of overlapping lesion of skin,,,,,,,,ICD10-BD,C44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of skin, unspecified",,,,,,,,ICD10-BD,C44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mesothelioma,,,,,,,,ICD10-BD,C45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mesothelioma of pleura,,,,,,,,ICD10-BD,C45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mesothelioma of peritoneum,,,,,,,,ICD10-BD,C45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mesothelioma of pericardium,,,,,,,,ICD10-BD,C45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mesothelioma of other sites,,,,,,,,ICD10-BD,C45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mesothelioma, unspecified",,,,,,,,ICD10-BD,C45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaposi's sarcoma,,,,,,,,ICD10-BD,C46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaposi's sarcoma of skin,,,,,,,,ICD10-BD,C46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaposi's sarcoma of soft tissue,,,,,,,,ICD10-BD,C46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaposi's sarcoma of palate,,,,,,,,ICD10-BD,C46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaposi's sarcoma of lymph nodes,,,,,,,,ICD10-BD,C46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaposi's sarcoma of other sites,,,,,,,,ICD10-BD,C46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaposi's sarcoma of multiple organs,,,,,,,,ICD10-BD,C46.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Kaposi's sarcoma, unspecified",,,,,,,,ICD10-BD,C46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Malignant neoplasm of peripheral nerves and autonomic nervous system,,,,,,,,ICD10-BD,C47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of peripheral nerves of head, face, and neck",,,,,,,,ICD10-BD,C47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder",,,,,,,,ICD10-BD,C47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Malignant neoplasm of peripheral nerves of lower limb, including hip",,,,,,,,ICD10-BD,C47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
